Entry,author1,x4Ref1
10392,F.S.Dietrich+,"J,PR/C,9,973,1974"
10393,R.C.Ragaini+,"J,PR/C,9,399,1974"
10394,R.O.Lane+,"J,PR,188,1618,1969"
10395,H.T.Heaton ii+,"J,NSE,56,27,1975"
10396,J.K.Dickens+,"R,ORNL-TM-4406,1973"
10397,J.K.Dickens+,"J,PR/C,10,958,1974"
10398,J.K.Dickens+,"R,ORNL-TM-4464,1974"
10399,G.L.Morgan+,"R,ORNL-TM-3702,1972"
10400,J.K.Dickens+,"R,ORNL-TM-5081,1975"
10401,W.P.Poenitz,"R,ANL-NDM-15,1975"
10402,J.K.Dickens+,"R,ORNL-TM-4379,1973"
10403,P.V.R.Murthy+,"J,NP/B,92,269,1975"
10404,M.R.Serpa,"T,SERPA,1970"
10405,G.E.Stokes+,"W,SIMPSON,1974"
10406,T.E.Young+,"R,WASH-1093,60,1968"
10407,G.E.Stokes+,"J,NSE,33,16,1968"
10408,W.A.Myers+,"J,JIN,37,637,1975"
10409,G.P.Glasgow+,"J,PR/C,18,2520,1978"
10410,H.I.Liou+,"J,PR/C,11,457,1975"
10411,G.Hacken+,"R,USNDC-11,79,1974"
10412,W.E.Kinney+,"R,ORNL-4909,1974"
10413,W.E.Kinney+,"R,ORNL-4806,1974"
10414,W.E.Kinney+,"R,ORNL-4908,1974"
10415,R.O.Lane+,"J,AP,12,135,1961"
10416,R.B.Schwartz+,"R,NBS-MONO-138,1974"
10417,J.A.Grundl,"J,NSE,30,39,1967"
10418,A.B.Smith+,"J,NP/A,93,609,1967"
10419,C.D.Bowman+,"C,71KNOX,2,584,1971"
10420,D.C.Santry+,"R,PR-CMA-27,14,1974"
10421,W.P.Poenitz,"J,NSE,57,300,1975"
10422,J.W.Behrens+,"C,76ANL,,47,1976"
10423,L.F.Hansen+,"R,USNDC-9,84,1973"
10424,D.C.Santry,"C,79KNOX,,(DC-9),1979"
10425,M.Drosg+,"J,NSE,172,87,2012"
10426,J.K.Dickens,"J,NSE,54,191,1974"
10427,R.L.Reed+,"R,COO-3058-39,9,1973"
10428,J.B.Czirr+,"J,NSE,57,18,1975"
10429,D.H.White+,"J,NP/A,187,12,1972"
10430,J.C.Wang+,"J,PL/B,51,42,1974"
10431,A.Bari,"T,BARI,1971"
10432,R.L.Macklin+,"J,PR/C,11,1270,1975"
10433,W.D.James+,"J,JIN,37,1341,1975"
10434,K.Rimawi+,"C,75WASH,2,920,1975"
10435,R.W.Hockenbury+,"C,75WASH,2,905,1975"
10436,R.W.Hockenbury+,"C,75WASH,2,584,1975"
10437,D.L.Bernard+,"C,75WASH,2,938,1975"
10438,W.P.Poenitz,"R,ANL-NDM-8,1974"
10439,G.Tessler+,"C,75WASH,2,934,1975"
10440,T.H.Kao+,"J,NP/A,237,11,1975"
10441,R.A.Zuhr+,"J,NP/A,237,29,1975"
10442,D.M.Drake+,"R,LA-5662-MS,1974"
10443,M.J.Longo+,"J,PRL,33,725,1974"
10444,A.V.Shah+,"J,BAP,19,1076(AB8),1974"
10445,L.R.Veeser+,"J,PR/C,16,1792,1977"
10446,C.M.Bartle,"J,NP/A,330,1,1979"
10447,C.M.Bartle+,"J,ANE,8,43,1981"
10448,G.K.Underhill,"J,DA/B,34,6026,1974"
10449,J.A.Harvey+,"W,WILSON,1975"
10450,C.M.Jensen+,"J,PR/C,15,1972,1977"
10451,J.A.Harvey+,"C,75WASH,1,244,1975"
10452,J.A.Harvey,"C,72KIAMESHA,2,1075,1972"
10453,W.C.Koehler+,"C,72DENVER,2,1319,1972"
10454,B.J.Allen+,"J,PR/C,8,1504,1973"
10455,J.Halperin+,"J,PR/C,21,545,1980"
10456,R.L.Macklin+,"J,PR/C,7,1766,1973"
10457,G.Hacken+,"J,PR/C,10,1910,1974"
10458,F.Rahn+,"J,PR/C,10,1904,1974"
10459,S.A.Elbakr+,"J,PR/C,10,1864,1974"
10460,D.M.Drake,"J,NSE,55,427,1974"
10461,R.W.Benjamin+,"J,NSE,55,440,1974"
10462,F.P.Brady+,"J,PR/C,9,1784,1974"
10463,J.C.Y.Wang,"T,WANG,1974"
10464,F.Becvar+,"J,NP/A,236,173,1974"
10465,B.Hamermesh,"J,PR/C,10,2397,1974"
10466,A.I.Namenson+,"J,NP/A,237,45,1975"
10467,F.P.Brady+,"J,PR/C,6,1150,1972"
10468,P.Guenther+,"J,PR/C,12,1797,1975"
10469,W.E.Kinney+,"R,ORNL-4907,1974"
10470,P.H.Brown+,"R,COO-2479-2,1975"
10471,V.J.Orphan+,"R,GA-8006,1969"
10472,R.D.Werner+,"J,NSE,56,98,1975"
10473,L.E.Beghian+,"J,NSE,69,191,1979"
10474,A.Smith+,"J,NSE,70,281,1979"
10475,W.P.Stephany+,"C,75WASH,1,236,1975"
10476,J.W.Barnes+,"J,JIN,37,399,1975"
10477,R.A.Sigg+,"J,JIN,37,631,1975"
10478,B.Hamermesh+,"J,PR/C,11,827,1975"
10479,J.A.Grundl+,"J,NT,25,237,1975"
10480,A.Mittler+,"J,BAP,17,555(HE4),1972"
10481,S.K.Ghorai+,"J,NP/A,266,53,1976"
10482,T.H.Kao+,"J,BAP,19,700(EC6),1974"
10483,R.E.Chrien+,"R,ORNL-4743,79,1972"
10484,R.W.Fink+,"J,BAP,15,1372(EH6),1970"
10485,D.O.Nellis+,"J,PR/C,9,1972,1974"
10486,H.C.Kao+,"J,BAP,19,700(EC7),1974"
10487,F.G.Perey+,"R,ORNL-4523,1970"
10488,W.L.Wilson,"R,WASH-1074,51,1967"
