Entry,author1
10346,D.M.Barton+
10347,R.E.Druschel+
10348,J.Halperin+
10349,J.W.Dabbs+
10350,J.K.Dickens+
10351,J.K.Dickens+
10352,J.K.Dickens+
10353,J.K.Dickens+
10354,R.G.Helmer+
10355,T.C.Montgomery+
10356,G.N.Salaita+
10357,S.A.Rao
10358,M.C.Thompson
10359,S.K.Ghorai+
10360,C.W.Tang+
10361,G.N.Salaita+
10362,S.A.Elbakr+
10363,R.M.Harbour+
10364,C.G.Shull+
10365,T.J.Devlin+
10366,M.D.Semon+
10367,N.Ahmed+
10368,R.E.Lewis
10369,T.W.Burrows
10370,R.E.Benenson+
10371,G.A.Keyworth+
10372,J.Zamudio-cristi+
10373,R.G.Arnold+
10374,J.Whalen+
10375,P.W.Martin+
10376,J.H.Landrum+
10377,F.G.Perey+
10378,W.P.Poenitz
10379,I.F.Bubb+
10380,S.L.Hausladen+
10381,C.E.Nelson+
10382,J.C.Overley+
10383,S.S.Malik+
10384,D.E.Velkley+
10385,D.C.Santry+
10386,D.C.Santry+
10387,H.M.Eiland+
10388,L.Green+
10389,R.H.Augustson+
10390,E.R.Reddingius+
10391,F.D.Mcdaniel+
10392,F.S.Dietrich+
10393,R.C.Ragaini+
10394,R.O.Lane+
10395,H.T.Heaton ii+
10396,J.K.Dickens+
10397,J.K.Dickens+
10398,J.K.Dickens+
10399,G.L.Morgan+
10400,J.K.Dickens+
10401,W.P.Poenitz
10402,J.K.Dickens+
10403,P.V.R.Murthy+
10404,M.R.Serpa
10405,G.E.Stokes+
10406,T.E.Young+
10407,G.E.Stokes+
10408,W.A.Myers+
10409,G.P.Glasgow+
10410,H.I.Liou+
10411,G.Hacken+
10412,W.E.Kinney+
10413,W.E.Kinney+
10414,W.E.Kinney+
10415,R.O.Lane+
10416,R.B.Schwartz+
10417,J.A.Grundl
10418,A.B.Smith+
10419,C.D.Bowman+
10420,D.C.Santry+
10421,W.P.Poenitz
10422,J.W.Behrens+
10423,L.F.Hansen+
10424,D.C.Santry
10425,M.Drosg+
10426,J.K.Dickens
10427,R.L.Reed+
10428,J.B.Czirr+
10429,D.H.White+
10430,J.C.Wang+
10431,A.Bari
10432,R.L.Macklin+
10433,W.D.James+
10434,K.Rimawi+
10435,R.W.Hockenbury+
10436,R.W.Hockenbury+
10437,D.L.Bernard+
10438,W.P.Poenitz
10439,G.Tessler+
10440,T.H.Kao+
10441,R.A.Zuhr+
10442,D.M.Drake+
10443,M.J.Longo+
10444,A.V.Shah+
10445,L.R.Veeser+
10446,C.M.Bartle
10447,C.M.Bartle+
10448,G.K.Underhill
10449,J.A.Harvey+
10450,C.M.Jensen+
10451,J.A.Harvey+
10452,J.A.Harvey
10453,W.C.Koehler+
10454,B.J.Allen+
10455,J.Halperin+
10456,R.L.Macklin+
10457,G.Hacken+
10458,F.Rahn+
10459,S.A.Elbakr+
10460,D.M.Drake
10461,R.W.Benjamin+
10462,F.P.Brady+
10463,J.C.Y.Wang
10464,F.Becvar+
10465,B.Hamermesh
10466,A.I.Namenson+
10467,F.P.Brady+
10468,P.Guenther+
10469,W.E.Kinney+
10470,P.H.Brown+
10471,V.J.Orphan+
10472,R.D.Werner+
10473,L.E.Beghian+
10474,A.Smith+
10475,W.P.Stephany+
10476,J.W.Barnes+
10477,R.A.Sigg+
10478,B.Hamermesh+
10479,J.A.Grundl+
10480,A.Mittler+
10481,S.K.Ghorai+
10482,T.H.Kao+
10483,R.E.Chrien+
10484,R.W.Fink+
10485,D.O.Nellis+
10486,H.C.Kao+
10487,F.G.Perey+
10488,W.L.Wilson
10489,A.E.Evans+
10490,V.C.Rogers+
10491,H.I.Liou+
10492,P.T.Karatzas+
10493,P.K.Eapen+
10494,C.M.Bartle
10495,C.S.Schneider
10496,M.S.Pandey+
10497,W.D.Lu+
10498,U.N.Singh+
10499,U.N.Singh+
10500,U.N.Singh+
10501,S.S.Malik+
10502,J.K.Dickens+
10503,G.J.Kirouac+
10504,J.W.Meadows
10505,W.L.Alford+
10506,J.W.Meadows
10507,H.S.Camarda+
10508,U.N.Singh+
10509,H.D.Knox+
10510,W.Bucher+
10511,J.G.Malan+
10512,J.W.Meadows
10513,J.Callerame+
10514,J.Callerame+
10515,U.N.Singh+
10516,K.F.Flynn+
10517,K.F.Flynn+
10518,U.N.Singh+
10519,A.Mittler+
10520,H.I.Liou+
10521,D.L.Smith+
10522,D.C.Santry+
10523,M.Divadeenam+
10524,A.B.Smith+
10525,H.I.Liou+
10526,J.A.Harvey+
10527,H.I.Liou+
10528,C.Lagrange+
10529,F.G.Perey+
10530,D.C.Larson+
10531,R.L.Macklin
10532,G.A.Keyworth+
10533,G.A.Keyworth+
10534,G.F.Auchampaugh+
10535,H.I.Liou+
10536,B.P.Bayhurst+
10537,R.L.Macklin
10538,A.R.Del musgrove+
10539,U.N.Singh+
10540,G.J.Kirouac+
10541,C.M.Bartle
10542,W.F.E.Pineo+
10543,R.R.Spencer+
10544,J.D.Robertson+
10545,M.C.Davis+
10546,M.F.Elgart+
10547,J.B.Czirr+
10548,M.Karim+
10549,C.K.Paulson+
10550,H.H.Hogue+
10551,G.L.Morgan+
10552,R.W.Hockenbury+
10553,J.K.Dickens+
10554,R.L.Macklin+
10555,G.H.E.Sims
10556,W.Bucher+
10557,L.Green
10558,J.B.Czirr+
10559,J.K.Dickens
10560,P.Guenther+
10561,D.K.Olsen+
10562,G.W.Carlson+
10563,G.W.Carlson+
10564,G.F.Auchampaugh+
10565,R.A.Eldred+
10566,D.L.Smith+
10567,R.E.Slovacek+
10568,A.K.Furr+
10569,R.C.Block+
10570,L.L.Yu+
10571,W.E.Kinney+
10572,W.E.Kinney+
10573,W.E.Kinney+
10574,R.E.Howe+
10575,H.I.Liou+
10576,W.R.Sloan+
10577,T.Y.Byoun+
10578,J.D.Brandenberger+
10579,G.Hacken+
10580,G.T.Chapman+
10581,G.L.Morgan+
10582,J.K.Dickens+
10583,G.L.Morgan+
10584,G.L.Morgan+
10585,G.T.Chapman
10586,G.T.Chapman+
10587,W.P.Poenitz
10588,F.L.Green+
10589,K.A.Nadolny+
10590,P.W.Lisowski+
10591,H.I.Liou+
10592,A.J.Bersbach+
10593,P.Guenther+
10594,R.C.Block+
10595,O.A.Wasson
10596,V.J.Thomson+
10597,J.W.Behrens+
10598,R.J.Holt+
10599,W.M.Good+
10600,G.G.Slaughter+
10601,J.K.Dickens
10602,R.Macklin+
10603,J.Biel+
10604,D.C.Santry+
10605,R.W.Stoughton+
10606,J.S.Merritt+
10607,G.P.Lamaze+
10608,G.H.E.Sims+
10609,F.G.Perey+
10610,R.Macklin+
10611,H.Weigmann+
10612,J.W.Meadows
10613,D.L.Smith
10614,L.Green+
10615,R.E.Shamu+
10616,G.F.Auchampaugh+
10617,F.B.Simpson+
10618,W.Good+
10619,R.M.Sealock+
10620,G.D.James+
10621,R.W.Stooksberry+
10622,J.B.Garg+
10623,G.N.Salaita+
10624,M.S.Pandey+
10625,F.W.K.Firk+
10626,I.L.Barnes+
10627,J.G.Bradley
10628,R.L.Macklin+
10629,M.S.Moore+
10630,A.I.Namenson+
10631,A.B.Smith+
10632,E.Rosario-garcia+
10633,J.C.Ferrer+
10634,S.M.Grimes+
10635,F.C.Difilippo+
10636,G.W.Carlson+
10637,L.Sage+
10638,J.C.Browne+
10639,R.F.Carlton+
10640,G.W.Eccleston+
10641,D.L.Smith
10642,J.E.Gindler+
10643,R.E.Chrien+
10644,G.Gleason
10645,A.H.Hussein+
10646,L.R.Veeser
10647,J.W.Behrens+
10648,J.W.Behrens+
10649,D.L.Smith
10650,C.E.Bemis jr+
10651,H.W.Newson+
10652,J.W.Behrens+
10653,J.W.Behrens+
10654,J.W.Meadows
10655,H.D.Knox+
10656,G.L.Morgan
10657,E.Newman+
10658,J.W.Behrens+
10659,A.Stolovy+
10660,K.Rimawi+
10661,V.C.Rogers+
10662,G.Gleason
10663,D.J.Horen+
10664,P.T.Guenther+
10665,D.Cokinos+
10666,U.N.Singh+
10667,H.S.Camarda
10668,A.B.Mcdonald+
10669,P.Guenther+
10670,M.G.Silbert
10671,R.C.Little+
10672,D.J.Horen+
10673,G.Hacken+
10674,F.C.Difilippo+
10675,J.W.Behrens
10676,A.F.M.Ishaq+
10677,J.Halperin+
10678,D.M.Drake+
10679,M.G.Silbert
10680,J.A.Harvey+
10681,C.E.Bemis jr+
10682,W.E.Kinney+
10683,D.C.Harris+
10684,D.M.Drake+
10685,R.M.White+
10686,P.Guenther+
10687,H.I.Liou+
10688,F.P.Brady+
10689,R.C.Haight+
10690,C.G.Hudson+
10691,F.G.Perey+
10692,J.K.Dickens
10693,R.L.Macklin+
10694,F.C.Difilippo+
10695,A.D.Carlson
10696,F.Y.Tsang+
10697,J.Rapaport+
10698,M.C.Davis+
10699,D.E.Bainum+
10700,S.Raman+
10701,A.B.Smith+
10702,U.N.Singh+
10703,R.E.Chrien+
10704,D.C.Palmer+
10705,F.P.Brady+
10706,D.R.Donati+
10707,H.H.Hogue+
10708,D.J.Horen+
10709,D.R.Nethaway
10710,H.D.Knox+
10711,W.P.Poenitz
10712,D.R.Nethaway+
10713,J.A.Correia+
10714,D.K.Olsen+
10715,J.B.Czirr+
10716,J.B.Garg+
10717,H.Bozorgmanesh+
10718,D.F.Coope+
10719,R.W.Harper+
10720,R.L.Macklin+
10721,C.H.Johnson+
10722,R.B.Strittmatter+
10723,W.J.Maeck+
10724,R.W.Benjamin+
10725,M.S.Pandey+
10726,M.S.Pandey+
10727,F.T.Seibel+
10728,M.F.Elgart
10729,D.E.Bainum+
10730,J.C.Browne+
10731,G.Gleason
10732,S.M.Grimes+
10733,P.S.Feigenbaum+
10734,J.W.Meadows
10735,W.P.Poenitz+
10736,S.Raman+
10737,I.Bergqvist+
10738,R.F.Casten+
10739,R.E.Chrien+
10740,S.F.Mughabghab+
10741,M.R.Bhat+
10742,M.R.Bhat+
10743,R.E.Chrien+
10744,H.Camarda+
10745,R.F.Carlton+
10746,O.A.Wasson+
10747,O.A.Wasson+
10748,O.A.Wasson+
10749,J.W.Meadows
10750,K.Rimawi+
10751,S.L.Sothras+
10752,J.B.Garg+
10753,J.B.Garg+
10754,G.H.Williams jr
10755,J.C.Engdahl+
10756,W.P.Poenitz
10757,D.L.Smith+
10758,M.Mizumoto+
10759,R.Gwin+
10760,H.S.Camarda
10761,D.C.Larson+
10762,S.Raman+
10763,T.W.Phillips+
10764,T.W.Woo+
10765,H.S.Camarda
10766,L.W.Weston+
10767,L.W.Weston+
10768,L.W.Weston+
10769,
10770,F.D.Mcdaniel+
10771,J.R.Cooper+
10772,R.L.White+
10773,H.Weigmann+
10774,J.Seltzer+
10775,R.A.Sigg+
10776,R.A.Sigg
10777,D.L.Smith
10778,D.C.Larson+
10779,D.C.Larson+
10780,S.F.Mughabghab+
10781,S.F.Mughabghab+
10782,S.F.Mughabghab+
10783,M.B.Kime+
10784,N.B.Sullivan+
10785,R.V.Leclaire+
10786,R.J.Holt+
10787,D.K.Olsen+
10788,G.L.Morgan
10789,G.L.Morgan
10790,G.L.Morgan+
10791,H.Weigmann+
10792,B.E.Bonner+
10793,R.E.Chrien+
10794,J.D.M.Moore
10795,L.R.Veeser+
10796,H.T.Maguire jr+
10797,J.F.Whalen+
10798,S.Nagy+
10799,T.A.Kitchens+
10800,T.L.Houk+
10801,M.L.Stelts+
10802,R.C.Block+
10803,P.T.Guenther+
10804,M.Drosg+
10805,J.C.Browne+
10806,T.W.Woo+
10807,D.F.Coope+
10808,G.T.Hickey+
10809,H.T.Heaton ii+
10810,J.H.Dave+
10811,R.A.Schrack+
10812,H.I.Liou+
10813,R.R.Winters+
10814,S.A.Wender+
10815,B.L.Quan+
10816,J.C.Wells jr+
10817,J.Rapaport+
10818,G.Brunhart+
10819,S.G.Glendinning+
10820,J.B.Garg+
10821,W.A.Myers+
10822,S.F.Mughabghab+
10823,A.B.Smith+
10824,T.S.Subramanian+
10825,S.F.Mughabghab+
10826,I.Bergqvist+
10827,S.M.Grimes+
10828,T.C.Chapman+
10829,P.J.Riley+
10830,B.E.Bonner+
10831,I.G.Schroder
10832,C.E.Bemis jr+
10833,W.P.Poenitz+
10834,F.E.Cecil+
10835,S.Sothras
10836,C.G.Hudson+
10837,S.K.Ghorai+
10838,E.D.Earle+
10839,R.Rundberg
10840,A.L.Athougies
10841,C.Renner+
10842,M.Mizumoto+
10843,J.W.Meadows
10844,S.K.Ghorai+
10845,W.J.Maeck+
10846,A.Smith+
10847,G.L.Morgan+
10848,R.R.Spencer+
10849,J.M.Harrison
10850,D.L.Smith+
10851,A.Mittler+
10852,S.Traiforos+
10853,R.O.Lane+
10854,P.W.Lisowski+
10855,M.Ahmed+
10856,J.Bading+
10857,L.Cranberg+
10858,C.L.Morris+
10859,S.G.Glendinning+
10860,J.Callerame+
10861,E.D.Earle+
10862,R.Carlini+
10863,J.E.Gaiser+
10864,M.Shima+
10865,W.J.Maeck+
10866,R.E.Brown+
10867,J.Rapaport+
10868,R.L.Macklin+
10869,C.M.Mc cullagh+
10870,H.E.Siefken+
10871,J.Rapaport+
10872,G.Pantis+
10873,R.L.Macklin+
10874,Y.Nakagome+
10875,R.L.Macklin+
10876,A.Smith+
10877,J.M.Harrison+
10878,R.E.Toohey+
10879,A.Smith+
10880,T.Von egidy+
10881,H.I.Liou+
10882,R.R.Winters+
10883,G.L.Morgan
10884,G.F.Auchampaugh+
10885,R.E.Chrien+
10886,A.Smith+
10887,L.W.Weston+
10888,J.D.Kellie+
10889,G.P.Lamaze+
10890,J.K.Dickens+
10891,P.J.Bendt+
10892,M.L.Evans+
10893,E.K.Hulet+
10894,J.K.Dickens
10895,R.L.Macklin+
10896,D.J.Horen+
10897,M.A.Monzyk+
10898,W.J.Maeck+
10899,D.M.Drake+
10900,D.L.Smith+
10901,D.C.Hoffman+
10902,D.L.Smith+
10903,N.S.P.King+
10904,A.B.Smith+
10905,R.Gwin+
10906,D.C.Larson+
10907,J.E.Bond+
10908,R.Garrett+
10909,D.K.Olsen+
10910,H.R.Hooper+
10911,A.Smith+
10912,G.G.Slaughter+
10913,A.L.Prindle+
10914,H.Knox+
10915,G.L.Morgan
10916,R.E.Chrien+
10917,W.J.Maeck+
10918,B.W.Wehring+
10919,L.M.Bollinger+
10920,L.E.Glendenin+
10921,G.Winkler+
10922,D.L.Smith+
10923,D.C.Hoffman+
10924,E.K.Hulet+
10925,D.Hoffman+
10926,D.C.Larson+
10927,S.Raman+
10928,S.Raman+
10929,S.Plattard+
10930,J.Halperin+
10931,R.W.Finlay+
10932,R.W.Finlay+
10933,D.W.Kneff+
10934,W.P.Poenitz
10935,W.P.Poenitz+
10936,C.L.Morris+
10937,C.A.Fontenla+
10938,T.Bradley+
10939,R.T.Jones+
10940,C.Zanelli+
10941,J.R.Smith+
10942,M.S.Moore+
10943,R.M.Brugger+
10944,R.E.Shamu+
10945,T.W.Phillips+
10946,A.D.Carlson
10947,D.J.Grady+
10948,J.B.Czirr+
10949,O.A.Wasson+
10950,O.A.Wasson+
10951,A.D.Carlson+
10952,V.Kulkarni+
10953,Y.Yamanouti+
10954,R.R.Spencer+
10955,J.A.Harvey+
10956,R.C.Little+
10957,C.Zanelli+
10958,S.M.El-kadi+
10959,A.Z.Hussein+
10960,R.C.Haight+
10961,J.K.Dickens+
10962,J.K.Dickens+
10963,J.B.Garg+
10964,S.T.Lam+
10965,P.Grabmayr+
10966,J.E.Gindler+
10967,J.E.Gindler+
10968,J.Arbo+
10969,R.W.Hockenbury+
10970,E.R.Graves+
10971,O.A.Wasson+
10972,O.A.Wasson+
10973,D.K.Olsen+
10974,T.C.Chapman+
10975,G.M.Brown+
10976,G.L.Morgan+
10977,G.L.Morgan
10978,G.L.Morgan+
10979,K.F.Flynn+
10980,R.W.Hockenbury+
10981,R.W.Hockenbury
10982,J.B.Garg+
10983,I.Slaus+
10984,R.Anderl
10985,G.J.Kirouac+
10986,J.E.Gindler+
10987,A.D.Carlson+
10988,S.T.Hsue+
10989,J.R.Risser+
10990,J.A.Harvey+
10991,G.P.Lamaze+
10992,C.H.Johnson+
10993,R.E.Howe+
10994,D.R.Nethaway+
10995,D.K.Pal+
10996,E.N.Vine+
10997,W.V.Prestwich+
10998,R.R.Winters+
10999,R.L.Macklin+
11000,W.P.Poenitz+
11001,W.L.Imhof+
11002,C.T.Hibdon+
11003,C.T.Hibdon+
11004,C.C.Trail+
11005,M.Wilkinson+
11006,P.G.Young+
11007,P.D.Miller+
11008,B.Pardo+
11009,A.Gallmann+
11010,V.Hummel+
11011,E.G.Bilpuch+
11012,T.W.Bonner+
11013,D.G.Hurst+
11014,G.A.Bartholomew+
11015,R.G.Fluharty
11016,N.G.Nereson+
11017,S.W.Peterson+
11018,M.E.Wyman+
11019,V.W.Meyers
11020,O.D.Simpson+
11021,M.E.Battat+
11022,C.Wong+
11023,M.E.Battat
11024,A.H.Armstrong+
11025,W.L.Imhof+
11026,L.A.Rayburn+
11027,B.Hoop jr+
11028,J.W.Meadows+
11029,J.R.Beyster
11030,J.S.Merritt+
11031,M.L.West ii+
11032,H.B.Willard+
11033,D.F.Measday
11034,S.A.Cox
11035,S.Bashkin+
11036,E.Kelly+
11037,R.K.Adair
11038,J.H.Coon
11039,R.H.Hildebrand+
11040,J.H.Coon+
11041,A.H.Lasday
11042,R.Wallace
11043,C.G.Shull+
11044,W.E.Meyerhof+
11045,J.E.Brolley jr+
11046,S.Bashkin+
11047,H.Pomerance
11048,C.K.Bockelman+
11049,P.H.Stelson+
